Number of data,Reference,Experiment No,Train/Test Set,Catalyst,Base,Base wt%,Base 2,Base 2 wt%,Support,Support wt%,Support 2,Catalyst preparation method,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time  (h),Reduction  H2 %,Temperature (C),Pressure (bar),W/F (mgcat/minml),Time on Stream (h),CO % in feed,Inert % in feed,CH4 % in feed,H2O % in feed,H2/CO2 in feed,CO2 Conversion %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",3,Train,NiO/Y2O3,NiO,30,None,0,Y2O3,70,None,CP,450,4,450,1,2,60,200,1,2,,0,25,0,0,4,1.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",3,Train,NiO/Y2O3,NiO,30,None,0,Y2O3,70,None,CP,450,4,450,1,2,60,250,1,2,,0,25,0,0,4,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",3,Train,NiO/Y2O3,NiO,30,None,0,Y2O3,70,None,CP,450,4,450,1,2,60,300,1,2,,0,25,0,0,4,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",3,Train,NiO/Y2O3,NiO,30,None,0,Y2O3,70,None,CP,450,4,450,1,2,60,350,1,2,,0,25,0,0,4,59.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",3,Train,NiO/Y2O3,NiO,30,None,0,Y2O3,70,None,CP,450,4,450,1,2,60,400,1,2,,0,25,0,0,4,63.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Ye RP, Liao L, Reina TR, Liu J, Chevella D, Jin Y, et al. Engineering Ni/SiO2 catalysts for enhanced CO2 methanation. Fuel 2021;285. https://doi.org/10.1016/j.fuel.2020.119151.",4,Train,Ni/SiO2,Ni-MOF,10,None,0,SiO2,90,None,SGP,450,5,450,1.6,2,100,250,20,3,52,0,0.8,0,0,4.167,23.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Ye RP, Liao L, Reina TR, Liu J, Chevella D, Jin Y, et al. Engineering Ni/SiO2 catalysts for enhanced CO2 methanation. Fuel 2021;285. https://doi.org/10.1016/j.fuel.2020.119151.",4,Train,Ni/SiO2,Ni-MOF,10,None,0,SiO2,90,None,SGP,450,5,450,1.6,2,100,270,20,3,52,0,0.8,0,0,4.167,45.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Ye RP, Liao L, Reina TR, Liu J, Chevella D, Jin Y, et al. Engineering Ni/SiO2 catalysts for enhanced CO2 methanation. Fuel 2021;285. https://doi.org/10.1016/j.fuel.2020.119151.",4,Train,Ni/SiO2,Ni-MOF,10,None,0,SiO2,90,None,SGP,450,5,450,1.6,2,100,290,20,3,52,0,0.8,0,0,4.167,74.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Ye RP, Liao L, Reina TR, Liu J, Chevella D, Jin Y, et al. Engineering Ni/SiO2 catalysts for enhanced CO2 methanation. Fuel 2021;285. https://doi.org/10.1016/j.fuel.2020.119151.",4,Train,Ni/SiO2,Ni-MOF,10,None,0,SiO2,90,None,SGP,450,5,450,1.6,2,100,310,20,3,52,0,0.8,0,0,4.167,89.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Ye RP, Liao L, Reina TR, Liu J, Chevella D, Jin Y, et al. Engineering Ni/SiO2 catalysts for enhanced CO2 methanation. Fuel 2021;285. https://doi.org/10.1016/j.fuel.2020.119151.",4,Train,Ni/SiO2,Ni-MOF,10,None,0,SiO2,90,None,SGP,450,5,450,1.6,2,100,330,20,3,52,0,0.8,0,0,4.167,93.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Ye RP, Liao L, Reina TR, Liu J, Chevella D, Jin Y, et al. Engineering Ni/SiO2 catalysts for enhanced CO2 methanation. Fuel 2021;285. https://doi.org/10.1016/j.fuel.2020.119151.",4,Train,Ni/SiO2,Ni-MOF,10,None,0,SiO2,90,None,SGP,450,5,450,1.6,2,100,350,20,3,52,0,0.8,0,0,4.167,94.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Ye RP, Liao L, Reina TR, Liu J, Chevella D, Jin Y, et al. Engineering Ni/SiO2 catalysts for enhanced CO2 methanation. Fuel 2021;285. https://doi.org/10.1016/j.fuel.2020.119151.",4,Train,Ni/SiO2,Ni-MOF,10,None,0,SiO2,90,None,SGP,450,5,450,1.6,2,100,370,20,3,52,0,0.8,0,0,4.167,95.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Ye RP, Liao L, Reina TR, Liu J, Chevella D, Jin Y, et al. Engineering Ni/SiO2 catalysts for enhanced CO2 methanation. Fuel 2021;285. https://doi.org/10.1016/j.fuel.2020.119151.",4,Train,Ni/SiO2,Ni-MOF,10,None,0,SiO2,90,None,SGP,450,5,450,1.6,2,100,390,20,3,52,0,0.8,0,0,4.167,96.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",5,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,WI,400,6,500,,1,100,200,1,2.4,20,0,50,0,0,4,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",5,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,WI,400,6,500,,1,100,250,1,2.4,20,0,50,0,0,4,1.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",5,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,WI,400,6,500,,1,100,300,1,2.4,20,0,50,0,0,4,9.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",5,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,WI,400,6,500,,1,100,350,1,2.4,20,0,50,0,0,4,39.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",5,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,WI,400,6,500,,1,100,400,1,2.4,20,0,50,0,0,4,47.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",5,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,WI,400,6,500,,1,100,450,1,2.4,20,0,50,0,0,4,48.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",5,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,WI,400,6,500,,1,100,500,1,2.4,20,0,50,0,0,4,48.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",6,Train,Ni/CeO2-Sm2O3,Ni,10,None,0,CeO2,,Sm2O3,WI,400,6,500,,1,100,200,1,2.4,20,0,50,0,0,4,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",6,Train,Ni/CeO2-Sm2O3,Ni,10,None,0,CeO2,,Sm2O3,WI,400,6,500,,1,100,250,1,2.4,20,0,50,0,0,4,2.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",6,Train,Ni/CeO2-Sm2O3,Ni,10,None,0,CeO2,,Sm2O3,WI,400,6,500,,1,100,300,1,2.4,20,0,50,0,0,4,18.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",6,Train,Ni/CeO2-Sm2O3,Ni,10,None,0,CeO2,,Sm2O3,WI,400,6,500,,1,100,350,1,2.4,20,0,50,0,0,4,45.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",6,Train,Ni/CeO2-Sm2O3,Ni,10,None,0,CeO2,,Sm2O3,WI,400,6,500,,1,100,400,1,2.4,20,0,50,0,0,4,52.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",6,Train,Ni/CeO2-Sm2O3,Ni,10,None,0,CeO2,,Sm2O3,WI,400,6,500,,1,100,450,1,2.4,20,0,50,0,0,4,52.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",6,Train,Ni/CeO2-Sm2O3,Ni,10,None,0,CeO2,,Sm2O3,WI,400,6,500,,1,100,500,1,2.4,20,0,50,0,0,4,50.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",7,Train,Ni/CeO2-Pr2O3,Ni,10,None,0,CeO2,,Pr2O3,WI,400,6,500,,1,100,200,1,2.4,20,0,50,0,0,4,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",7,Train,Ni/CeO2-Pr2O3,Ni,10,None,0,CeO2,,Pr2O3,WI,400,6,500,,1,100,250,1,2.4,20,0,50,0,0,4,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",7,Train,Ni/CeO2-Pr2O3,Ni,10,None,0,CeO2,,Pr2O3,WI,400,6,500,,1,100,300,1,2.4,20,0,50,0,0,4,24.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",7,Train,Ni/CeO2-Pr2O3,Ni,10,None,0,CeO2,,Pr2O3,WI,400,6,500,,1,100,350,1,2.4,20,0,50,0,0,4,54.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",7,Train,Ni/CeO2-Pr2O3,Ni,10,None,0,CeO2,,Pr2O3,WI,400,6,500,,1,100,400,1,2.4,20,0,50,0,0,4,58.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",7,Train,Ni/CeO2-Pr2O3,Ni,10,None,0,CeO2,,Pr2O3,WI,400,6,500,,1,100,450,1,2.4,20,0,50,0,0,4,56.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",7,Train,Ni/CeO2-Pr2O3,Ni,10,None,0,CeO2,,Pr2O3,WI,400,6,500,,1,100,500,1,2.4,20,0,50,0,0,4,52.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",8,Test,Ni/CeO2-MgO,Ni,10,None,0,CeO2,,MgO,WI,400,6,500,,1,100,200,1,2.4,20,0,50,0,0,4,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",8,Test,Ni/CeO2-MgO,Ni,10,None,0,CeO2,,MgO,WI,400,6,500,,1,100,250,1,2.4,20,0,50,0,0,4,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",8,Test,Ni/CeO2-MgO,Ni,10,None,0,CeO2,,MgO,WI,400,6,500,,1,100,300,1,2.4,20,0,50,0,0,4,15.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",8,Test,Ni/CeO2-MgO,Ni,10,None,0,CeO2,,MgO,WI,400,6,500,,1,100,350,1,2.4,20,0,50,0,0,4,43.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",8,Test,Ni/CeO2-MgO,Ni,10,None,0,CeO2,,MgO,WI,400,6,500,,1,100,400,1,2.4,20,0,50,0,0,4,51.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",8,Test,Ni/CeO2-MgO,Ni,10,None,0,CeO2,,MgO,WI,400,6,500,,1,100,450,1,2.4,20,0,50,0,0,4,51.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Siakavelas GI, Charisiou ND, AlKhoori S, AlKhoori AA, Sebastian V, Hinder SJ, et al. Highly selective and stable nickel catalysts supported on ceria promoted with Sm2O3, Pr2O3 and MgO for the CO2 methanation reaction. Appl Catal B Environ 2021;282:119562. https://doi.org/10.1016/j.apcatb.2020.119562.",8,Test,Ni/CeO2-MgO,Ni,10,None,0,CeO2,,MgO,WI,400,6,500,,1,100,500,1,2.4,20,0,50,0,0,4,49.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",9,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,500,3,500,1,1,10,250,1,1.1,24,0,20,0,0,4,7.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",9,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,500,3,500,1,1,10,255,1,1.1,24,0,20,0,0,4,9.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",9,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,500,3,500,1,1,10,260,1,1.1,24,0,20,0,0,4,12.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",9,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,500,3,500,1,1,10,275,1,1.1,24,0,20,0,0,4,35.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
